title,author,isbn,isbn13,num_pages,avg_rating,date_pub,rating,date_read,date_added
"Wittgenstein’s Nephew","Bernhard, Thomas","0226043924","9780226043920","101","4.03","1982","4","Jan 05, 2025","Jan 04, 2025"
"سنگر و قمقمه‌های خالی","Sadeghi, Bahram","","","432","3.88","1967","5","Dec 28, 2024","Dec 27, 2024"
"Spadework for a Palace","Krasznahorkai, László","081122841X","9780811228411","97","3.96","Sep 25, 2018","5","Dec 25, 2024","Dec 25, 2024"
"The Ruined Map","Abe, Kōbō","0307813703","9780307813701","306","3.47","1967","5","Dec 24, 2024","Dec 09, 2024"
"My Work","Ravn, Olga","0811234711","9780811234719","416","4.00","Sep 04, 2020","4","Dec 13, 2024","Dec 13, 2024"
"The Wall","Haushofer, Marlen","1573440949","9781573440943","240","4.03","1963","5","Nov 19, 2024","Nov 19, 2024"
"The Diary of a Nobody","Grossmith, George","0192833278","9780192833273","176","3.69","1892","4","Nov 11, 2024","Nov 11, 2024"
"Austerlitz","Sebald, W.G.","0140297995","9780140297997","415","3.99","Nov 2001","4","Sep 22, 2024","Oct 03, 2024"
"عزاداران بیل","ساعدی, غلامحسین","9643514188","9789643514181","208","3.97","1964","4","Aug 16, 2024","Aug 16, 2024"
"Terminal Boredom: Stories","Suzuki, Izumi","1788739884","9781788739887","218","3.59","Apr 20, 2021","5","Aug 06, 2024
Aug 05, 2023 [edit]","Aug 05, 2023"
"Inter Ice Age 4","Abe, Kōbō","0224005693","9780224005692","240","3.70","1959","4","Jul 26, 2024","Jul 26, 2024"
"A Confederacy of Dunces","Toole, John Kennedy","0802130208","9780802130204","394","3.89","May 01, 1980","4","Jul 22, 2024","Jul 26, 2024"
"Billy Budd, Sailor","Melville, Herman","1416523723","9781416523727","166","3.17","1924","4","Jul 07, 2024","Jul 13, 2024"
"ملکوت","Sadeghi, Bahram","9646380174","9789646380172","112","3.85","Apr 1961","5","Jun 17, 2024","Jun 18, 2024"
"Chasing Homer","Krasznahorkai, László","0811227979","9780811227971","96","3.73","Jun 06, 2019","5","Jun 06, 2024","Jun 06, 2024"
"The Box Man","Abe, Kōbō","0375726519","9780375726514","178","3.60","1973","5","May 26, 2024","May 26, 2024"
"Revenge","Ogawa, Yōko","","","162","4.04","Jun 01, 1998","3","May 23, 2024","May 23, 2024"
"Vlad","Fuentes, Carlos","6071105625","9786071105622","111","3.37","2004","4","May 20, 2024","May 20, 2024"
"The Ark Sakura","Abe, Kōbō","0679721614","9780679721611","352","3.55","1984","5","May 19, 2024","May 19, 2024"
"پرده‌ی نئی، فیلم‌نامه","Beyzaie, Bahram","9645512379","9789645512376","176","4.05","Mar 21, 1991","4","May 09, 2024","May 09, 2024"
"The Sunday of Life","Queneau, Raymond","0714536415","9780714536415","200","3.73","1952","4","May 07, 2024","May 06, 2024"
"Children of Memory (Children of Time, #3)","Tchaikovsky, Adrian *","1529087201","","486","4.02","Nov 24, 2022","3","Apr 11, 2024","Apr 12, 2024"
"The Last Wolf / Herman","Krasznahorkai, László","0811226085","9780811226080","128","3.99","2016","5","Mar 17, 2024","Apr 25, 2020"
"The Road","McCarthy, Cormac","0307265439","9780307265432","241","3.99","Sep 26, 2006","5","Feb 07, 2024","Feb 07, 2024"
"Bartleby the Scrivener & Other Stories: The Lightning-rod Man, The Bell-Tower","Melville, Herman","9626344016","9789626344019","0","3.49","unknown","5","Jan 22, 2024","Jan 22, 2024"
"Hit Parade of Tears","Suzuki, Izumi","1839768495","9781839768491","288","3.43","Apr 11, 2023","5","Jan 12, 2024","Jan 16, 2024"
"All the Pretty Horses (The Border Trilogy, #1)","McCarthy, Cormac","0679744398","9780679744399","302","4.04","1992","3","Dec 28, 2023","Dec 29, 2023"
"The Burnout Society","Han, Byung-Chul","0804795096","9780804795098","60","3.89","Oct 04, 2010","5","Dec 28, 2023","Dec 28, 2023"
"Stella Maris (The Passenger, #2)","McCarthy, Cormac","0307269000","9780307269003","190","3.87","Dec 06, 2022","5","Dec 24, 2023","Dec 24, 2023"
"The Passenger (The Passenger #1)","McCarthy, Cormac","0593535227","","385","3.58","Oct 25, 2022","5","Dec 08, 2023
not set [edit]","Feb 09, 2024"
"Terminal Boredom: Stories","Suzuki, Izumi","1788739884","9781788739887","218","3.59","Apr 20, 2021","5","Aug 05, 2023
Aug 05, 2023 [edit]","Aug 05, 2023"
"The Employees: A workplace novel of the 22nd century","Ravn, Olga","","","133","3.67","May 24, 2018","5","Jul 23, 2023
not set [edit]","Jul 23, 2023"
"The Conspiracy Against the Human Race","Ligotti, Thomas","098242969X","9780982429693","240","4.04","Sep 01, 2011","5","Jun 25, 2023","Jun 25, 2023"
"Afterlives","Gurnah, Abdulrazak","059354188X","9780593541883","309","3.78","Sep 17, 2020","3","Jun 03, 2023","Jun 04, 2023"
"The Dawn of Everything: A New History of Humanity","Graeber, David","0374157359","9780374157357","692","4.20","Oct 19, 2021","5","May 15, 2023","May 15, 2023"
"Scattered All Over the Earth","Tawada, Yōko","0811229289","9780811229289","256","3.27","Apr 26, 2018","5","Apr 24, 2023","Apr 24, 2023"
"Pond","Bennett, Claire-Louise","1906539464","9781906539467","148","3.53","Apr 23, 2015","4","Apr 20, 2023","Apr 24, 2023"
"Checkout 19","Bennett, Claire-Louise","0593420497","9780593420492","288","3.17","Aug 19, 2021","5","Mar 26, 2023","Mar 27, 2023"
"Babel-17","Delany, Samuel R.","0839823282","9780839823285","192","3.73","May 1966","3","Mar 18, 2023","Mar 19, 2023"
"Satantango","Krasznahorkai, László","0811217345","9780811217347","274","4.14","1985","5","Feb 15, 2023","Feb 18, 2023"
"The Fall","Camus, Albert","0679720227","9780679720225","147","4.04","May 16, 1956","5","Feb 02, 2023","Feb 02, 2023"
"Tenth of December","Saunders, George","0812993802","9780812993806","251","3.98","Jan 03, 2013","3","Jan 20, 2023","Jan 21, 2023"
"Things We Lost in the Fire","Enríquez, Mariana","045149511X","9780451495112","192","4.06","Feb 10, 2016","5","Jan 15, 2023","Jan 15, 2023"
"The Box: Tales from the Darkroom","Grass, Günter","0547245033","9780547245034","194","3.14","2008","4","Jan 08, 2023","Jan 09, 2023"
"Disorientation","Chou, Elaine Hsieh","0593298357","9780593298350","403","3.84","Mar 22, 2022","3","Dec 14, 2022","Dec 15, 2022"
"The Housekeeper and the Professor","Ogawa, Yōko","0312427808","9780312427801","180","4.05","Aug 29, 2003","5","Nov 20, 2022","Nov 20, 2022"
"Either/Or","Batuman, Elif","0525557598","9780525557593","368","4.01","2022","3","Nov 2022","Nov 01, 2022"
"This Is How You Lose the Time War","El-Mohtar, Amal *","1534431004","9781534431003","198","3.89","Jul 16, 2019","2","Aug 29, 2022","Aug 29, 2022"
"The Idiot","Batuman, Elif","1594205612","9781594205613","423","3.67","Mar 14, 2017","3","Jul 17, 2022","Jul 18, 2022"
"Two Years Eight Months and Twenty-Eight Nights","Rushdie, Salman","081299891X","9780812998917","304","3.38","Sep 08, 2015","4","Jul 05, 2022","Jul 07, 2022"
"Norwegian Wood","Murakami, Haruki","0375704027","9780375704024","296","4.01","Sep 04, 1987","2","Jun 16, 2022","Jun 16, 2022"
"Perfume: The Story of a Murderer","Süskind, Patrick","0140120831","9780140120837","263","4.04","Feb 26, 1985","4","Jun 07, 2022","Jun 07, 2022"
"First Person Singular: Stories","Murakami, Haruki","0593318072","9780593318072","245","3.54","Jul 2020","4","May 30, 2022","May 30, 2022"
"Civilizations","Binet, Laurent","","9782246813101","384","3.67","Aug 14, 2019","4","May 24, 2022","May 24, 2022"
