Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8524528,The Conspiracy Against the Human Race,Thomas Ligotti,"Ligotti, Thomas",Ray Brassier,"=""098242969X""","=""9780982429693""",4,4.06,Hippocampus Press,Hardcover,240,2010,2011,2023/06/25,2023/06/25,,,read,,,,1,0
60018649,Afterlives,Abdulrazak Gurnah,"Gurnah, Abdulrazak",,"=""059354188X""","=""9780593541883""",3,3.80,Riverhead Books,Hardcover,309,2022,2020,2023/06/04,2023/06/04,,,read,,,,1,0
168646,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0440180295""","=""9780440180296""",5,4.09,Dell,Mass Market Paperback,215,1991,1969,2004/03/01,2010/09/20,,,read,,,,1,0
274186,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0679731725""","=""9780679731726""",4,4.14,Vintage Books,Paperback,245,1990,1989,2020/05/28,2020/05/28,,,read,,,,1,0
56269264,The Dawn of Everything: A New History of Humanity,David Graeber,"Graeber, David",David Wengrow,"=""0374157359""","=""9780374157357""",5,4.20,"Farrar, Straus and Giroux",Hardcover,692,2021,2021,2023/05/15,2023/05/15,,,read,,,,1,0
58470813,Scattered All Over the Earth,Yōko Tawada,"Tawada, Yōko",Margaret Mitsutani,"=""0811229289""","=""9780811229289""",5,3.39,New Directions,Paperback,256,2022,2018,2023/04/24,2023/04/24,,,read,,,,1,0
13641208,Tenth of December,George Saunders,"Saunders, George",,"=""0812993802""","=""9780812993806""",3,3.98,Random House,Hardcover,251,2013,2013,2023/01/21,2023/01/21,,,read,,,,1,0
25333047,Pond,Claire-Louise Bennett,"Bennett, Claire-Louise",,"=""1906539464""","=""9781906539467""",4,3.54,The Stinging Fly Press,Hardcover,148,2015,2015,2023/04/24,2023/04/24,,,read,,,,1,0
58386758,Checkout 19,Claire-Louise Bennett,"Bennett, Claire-Louise",,"=""0593420497""","=""9780593420492""",5,3.24,Riverhead Books,Hardcover,288,2022,2021,2023/03/27,2023/03/27,,,read,,,,1,0
1199688,Babel-17,Samuel R. Delany,"Delany, Samuel R.",,"=""0839823282""","=""9780839823285""",3,3.73,Gregg Press,Hardcover,192,1978,1966,2023/03/19,2023/03/19,,,read,,,,1,0
11455485,Satantango,László Krasznahorkai,"Krasznahorkai, László",George Szirtes,"=""0811217345""","=""9780811217347""",5,4.12,New Directions,Hardcover,274,2012,1985,2023/02/18,2023/02/18,,,read,,,,1,0
11991,The Fall,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0679720227""","=""9780679720225""",5,4.04,Vintage Books,Paperback,147,1991,1956,2023/02/02,2023/02/02,,,read,,,,1,0
30375706,Things We Lost in the Fire,Mariana Enríquez,"Enríquez, Mariana",,"=""045149511X""","=""9780451495112""",5,4.07,Hogarth,Hardcover,192,2017,2016,2023/01/15,2023/01/15,,,read,,,,1,0
48845192,Good Economics for Hard Times : Better Answers to Our Biggest Problems,Abhijit V. Banerjee,"Banerjee, Abhijit V.",Esther Duflo,"=""9353450705""","=""9789353450700""",5,4.24,Juggernaut,Hardcover,416,2019,2019,2021/05/25,2021/04/22,,,read,,,,1,0
7791929,The Box: Tales from the Darkroom,Günter Grass,"Grass, Günter",Krishna Winston,"=""0547245033""","=""9780547245034""",4,3.15,Houghton Mifflin Harcourt,Hardcover,194,2010,2008,2023/01/09,2023/01/09,,,read,,,,1,0
